country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","18-02-2026 16:00:00",23.041137,72.456691,CO,12,28,21
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","18-02-2026 16:00:00",23.041137,72.456691,OZONE,1,87,50
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","18-02-2026 16:00:00",23.076793,72.627874,SO2,8,16,11
India,Delhi,Delhi,"Pusa, Delhi - IMD","18-02-2026 16:00:00",28.636110,77.173332,PM10,52,252,150
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","18-02-2026 16:00:00",28.563262,77.186937,PM2.5,67,379,241
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","18-02-2026 16:00:00",28.563262,77.186937,NH3,8,22,12
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","18-02-2026 16:00:00",28.6514781,77.1473105,PM2.5,58,376,277
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","18-02-2026 16:00:00",28.6514781,77.1473105,NH3,11,19,14
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","18-02-2026 16:00:00",28.6514781,77.1473105,CO,12,123,33
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","18-02-2026 16:00:00",28.6573814,77.1585447,OZONE,11,172,21
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","18-02-2026 16:00:00",28.530785,77.271255,PM2.5,58,334,231
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","18-02-2026 16:00:00",28.530785,77.271255,NO2,34,120,91
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","18-02-2026 16:00:00",28.674045,77.131023,PM2.5,52,374,210
India,Delhi,Delhi,"Pusa, Delhi - DPCC","18-02-2026 16:00:00",28.639652,77.146275,NO2,35,119,85
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","18-02-2026 16:00:00",28.60909,77.0325413,SO2,9,21,15
India,Delhi,Delhi,"Narela, Delhi - DPCC","18-02-2026 16:00:00",28.822836,77.101981,OZONE,1,115,20
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","18-02-2026 16:00:00",28.567890,77.250515,PM2.5,63,361,244
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","18-02-2026 16:00:00",28.567890,77.250515,OZONE,1,90,26
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","18-02-2026 16:00:00",28.699793,77.165453,PM2.5,73,473,262
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","18-02-2026 16:00:00",23.107969,72.574648,NO2,16,82,45
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","18-02-2026 16:00:00",22.977134,72.553024,OZONE,1,58,1
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","18-02-2026 16:00:00",28.5504249,77.2159377,NH3,6,9,8
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","18-02-2026 16:00:00",28.710508,77.249485,SO2,38,60,53
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","18-02-2026 16:00:00",28.710508,77.249485,CO,64,196,169
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","18-02-2026 16:00:00",28.710508,77.249485,OZONE,1,122,27
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","18-02-2026 16:00:00",28.5918245,77.2273074,PM2.5,38,305,119
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","18-02-2026 16:00:00",28.5918245,77.2273074,PM10,76,254,160
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","18-02-2026 16:00:00",28.611281,77.237738,NH3,13,23,18
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","18-02-2026 16:00:00",28.636429,77.201067,PM2.5,2,316,116
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","18-02-2026 16:00:00",28.636429,77.201067,CO,34,107,46
India,Delhi,Delhi,"Mundka, Delhi - DPCC","18-02-2026 16:00:00",28.684678,77.076574,PM10,85,466,284
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","18-02-2026 16:00:00",23.002657,72.591912,SO2,25,43,36
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","18-02-2026 16:00:00",28.206800,76.799700,PM2.5,106,330,237
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","18-02-2026 16:00:00",28.206800,76.799700,SO2,3,3,3
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-02-2026 16:00:00",28.39072,77.30059,PM2.5,181,207,192
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-02-2026 16:00:00",28.39072,77.30059,NO2,23,26,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","18-02-2026 16:00:00",28.39072,77.30059,SO2,8,9,8
